name,type_label,description,lat,lng,origin,external_id,status
Trinkbrunnen,drinking_fountain,,48.2160260654,16.3533244708,verified,vienna:2255615,verified
Trinkbrunnen,drinking_fountain,,48.2482966415,16.4919744912,verified,vienna:2255617,verified
Trinkbrunnen,drinking_fountain,,48.2881909319,16.4318239319,verified,vienna:2255618,verified
Trinkbrunnen,drinking_fountain,,48.2181926192,16.2498044441,verified,vienna:2255622,verified
Trinkbrunnen,drinking_fountain,,48.1844760498,16.3346885423,verified,vienna:2255623,verified
Trinkbrunnen,drinking_fountain,,48.2477001907,16.307099298,verified,vienna:2255624,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.2243441553,16.5035894615,verified,vienna:2255625,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.2430244255,16.3017954195,verified,vienna:2255626,verified
Trinkbrunnen,drinking_fountain,,48.143499484,16.2946718901,verified,vienna:2255627,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.1973116815,16.4020511011,verified,vienna:2255628,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.1938085791,16.2741121609,verified,vienna:2255629,verified
Trinkbrunnen,drinking_fountain,,48.2760356332,16.4223280134,verified,vienna:2255630,verified
Trinkbrunnen,drinking_fountain,,48.2776364441,16.4237443048,verified,vienna:2255631,verified
Trinkbrunnen,drinking_fountain,,48.2573579885,16.4559412274,verified,vienna:2255632,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.1823914373,16.4180744227,verified,vienna:2255633,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.183192785,16.4176030415,verified,vienna:2255634,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.2895001383,16.3917113385,verified,vienna:2255635,verified
Trinkbrunnen,drinking_fountain,,48.2527394037,16.4773043753,verified,vienna:2255638,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.1783579535,16.3811703093,verified,vienna:2255639,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.1791307479,16.383110999,verified,vienna:2255640,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.1800234988,16.3837442985,verified,vienna:2255642,verified
Trinkbrunnen,drinking_fountain,,48.1818717037,16.3819509054,verified,vienna:2255643,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.1530866005,16.2916610064,verified,vienna:2255646,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.2100888609,16.2480461138,verified,vienna:2255647,verified
Trinkbrunnen,drinking_fountain,,48.237932904,16.4496559717,verified,vienna:2255648,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.1769516033,16.3886400912,verified,vienna:2255649,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.1781881267,16.3863262977,verified,vienna:2255650,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.1783407889,16.3860896383,verified,vienna:2255651,verified
Trinkbrunnen,drinking_fountain,,48.194160103,16.3524101698,verified,vienna:2255652,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.269708205,16.4450984479,verified,vienna:2255653,verified
Trinkbrunnen,drinking_fountain,,48.2860322131,16.4437606471,verified,vienna:2255654,verified
Trinkbrunnen,drinking_fountain,,48.237084231,16.3192924701,verified,vienna:2255657,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.1461124973,16.3857823496,verified,vienna:2255658,verified
Trinkbrunnen,drinking_fountain,,48.1450014422,16.3934891574,verified,vienna:2255659,verified
Trinkbrunnen,drinking_fountain,,48.2041827125,16.3797072149,verified,vienna:2255660,verified
Trinkbrunnen,drinking_fountain,,48.2038272839,16.381743163,verified,vienna:2255661,verified
Trinkbrunnen,drinking_fountain,,48.1692639304,16.3063574631,verified,vienna:2255662,verified
Trinkbrunnen,drinking_fountain,,48.2467556436,16.4073493535,verified,vienna:2255663,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.2915343004,16.3864320078,verified,vienna:2255664,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.2108645056,16.3596279972,verified,vienna:2255665,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.2102218336,16.359410088,verified,vienna:2255666,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.2305859241,16.2949010812,verified,vienna:2255667,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.2037585851,16.3542998896,verified,vienna:2255669,verified
Trinkbrunnen,drinking_fountain,,48.2145218384,16.3601290301,verified,vienna:2255670,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.2456749016,16.3482371775,verified,vienna:2255671,verified
Trinkbrunnen,drinking_fountain,,48.188320491,16.3433749792,verified,vienna:2255672,verified
Trinkbrunnen,drinking_fountain,,48.226898214,16.3121186048,verified,vienna:2255673,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.1373433341,16.2889424805,verified,vienna:2255674,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.1521384583,16.2867064022,verified,vienna:2255676,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.190645892,16.331715703,verified,vienna:2255656,verified
Trinkbrunnen,drinking_fountain,,48.1987790797,16.2940564581,verified,vienna:2255730,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.1985717997,16.3764415443,verified,vienna:2255734,verified
Trinkbrunnen,drinking_fountain,,48.2074569444,16.3411749757,verified,vienna:2255735,verified
Trinkbrunnen,drinking_fountain,,48.2698978996,16.3835505667,verified,vienna:2255740,verified
Trinkbrunnen,drinking_fountain,,48.2055223816,16.215206604,verified,vienna:2255742,verified
Trinkbrunnen,drinking_fountain,,48.1959875538,16.4038293632,verified,vienna:2255743,verified
Trinkbrunnen,drinking_fountain,,48.1824541655,16.4014383982,verified,vienna:2255744,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.1888763077,16.3396870906,verified,vienna:2255745,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.1597934208,16.4685635099,verified,vienna:2255746,verified
Trinkbrunnen,drinking_fountain,,48.2144043928,16.3179669745,verified,vienna:2255747,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.1532848074,16.3564325446,verified,vienna:2255374,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.1400823847,16.3922834834,verified,vienna:2255376,verified
Trinkbrunnen,drinking_fountain,,48.1941141543,16.3565190074,verified,vienna:2255378,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.1938579005,16.3563219595,verified,vienna:2255379,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.154407879,16.380966138,verified,vienna:2255380,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.1543887365,16.394213604,verified,vienna:2255381,verified
Trinkbrunnen,drinking_fountain,,48.1792842067,16.4153044115,verified,vienna:2255382,verified
Trinkbrunnen,drinking_fountain,,48.1558642534,16.3845560767,verified,vienna:2255383,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.1795068199,16.4207830012,verified,vienna:2255384,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.1578375066,16.3878456608,verified,vienna:2255385,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.2348663334,16.3648141637,verified,vienna:2255386,verified
Trinkbrunnen,drinking_fountain,,48.1963462921,16.2760670808,verified,vienna:2255387,verified
