id,name,type_label,type_num,lat,lng
2255440,Trinkbrunnen,drinking_fountain,4,48.269258533421834,16.448784917733278
2255441,Trinkbrunnen,drinking_fountain,4,48.2704241085857,16.450035994470838
2255442,Trinkbrunnen,drinking_fountain,4,48.270198803796426,16.454875076039627
2255443,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.27750644263392,16.41244481764952
2255444,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.22926855982634,16.53478512951039
2255445,Trinkbrunnen,drinking_fountain,4,48.29537876395968,16.38915817423282
2255446,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.24555474305313,16.318517762850966
2255447,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.24999306565297,16.312912469484917
2255448,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.24327090638858,16.3577219057739
2255449,Trinkbrunnen,drinking_fountain,4,48.24561825531456,16.34401911340372
2255450,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.25340353960006,16.341396268406868
2255451,Trinkbrunnen,drinking_fountain,4,48.25068239325032,16.337211061842414
2255452,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.24101519135827,16.320503611473427
2255453,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.20490007913677,16.40585810282882
2255454,Trinkbrunnen,drinking_fountain,4,48.20616810771754,16.40586832950837
2255455,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.25662264806547,16.3621081614738
2255456,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.25835730621713,16.353336048311327
2255457,Trinkbrunnen,drinking_fountain,4,48.253918542007916,16.366715771245584
2255458,Trinkbrunnen,drinking_fountain,4,48.25523423000769,16.40755714609697
2255460,Trinkbrunnen,drinking_fountain,4,48.26154427339184,16.39935948031539
2255462,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.22079843675031,16.342633757619602
2255463,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.23463473453673,16.331391501200024
2255464,Trinkbrunnen,drinking_fountain,4,48.23423106861998,16.33370405341625
2255465,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.2346850828464,16.336477867211883
2255466,Trinkbrunnen,drinking_fountain,4,48.23616860472689,16.334288934796575
2255467,Trinkbrunnen,drinking_fountain,4,48.25088153583523,16.402605871140835
2255468,Trinkbrunnen,drinking_fountain,4,48.213142785758606,16.40100893913449
2255470,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.218751302053015,16.32211463462873
2255471,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.25444146603408,16.42160616809049
2255472,Trinkbrunnen,drinking_fountain,4,48.210643377995076,16.33180496841788
2255473,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.20792300376839,16.286062928235136
2255474,Trinkbrunnen,drinking_fountain,4,48.213577827634374,16.33283352275059
2255475,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.20599014751166,16.33411909534766
2255476,Trinkbrunnen,drinking_fountain,4,48.20573220292849,16.33416864499399
2255477,Trinkbrunnen,drinking_fountain,4,48.20877468366787,16.333424192797544
2255478,Trinkbrunnen,drinking_fountain,4,48.19256944882477,16.44169317288326
2255479,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.188888897458035,16.318380781939727
2255481,Trinkbrunnen,drinking_fountain,4,48.2141651602812,16.476697447688494
2255482,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.21271516548821,16.309656268059758
2255483,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.21276681507173,16.309348497681906
2255484,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.20916947936955,16.313151185963704
2255485,Trinkbrunnen,drinking_fountain,4,48.2156216428269,16.312575353074504
2255486,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.21583356578216,16.307549170998406
2255487,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.23544292401876,16.372735379757646
2255488,Trinkbrunnen,drinking_fountain,4,48.18704278440116,16.325844295614925
2255489,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.19642763749578,16.363290340623728
2255490,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.20057695651733,16.345730370957934
2255491,Trinkbrunnen,drinking_fountain,4,48.14690387894224,16.398349187221637
